1000 100000
0 405 49
0 195 98
0 615 43
0 52 43
0 131 41
0 322 13
0 597 29
0 147 75
0 46 43
0 118 5
0 289 44
0 687 54
0 999 25
0 437 84
0 273 29
0 73 86
0 383 69
0 590 96
0 769 80
0 211 87
0 893 99
0 639 15
0 924 0
0 55 4
0 248 38
0 481 67
0 389 84
0 220 51
0 763 97
0 344 82
0 683 77
0 588 85
0 630 38
0 45 87
0 240 81
0 548 33
0 569 68
0 124 84
0 20 59
0 71 62
0 696 28
0 970 54
0 995 4
0 167 43
0 470 46
0 853 74
0 749 100
0 81 0
0 48 95
0 108 94
0 464 66
0 775 8
0 735 89
0 834 76
0 959 44
0 4 18
0 680 88
0 30 21
0 745 63
0 824 96
0 35 29
0 364 23
0 110 51
0 91 71
0 603 74
0 268 16
0 115 41
0 817 67
0 219 62
0 733 65
0 44 76
0 141 29
0 209 11
0 676 36
0 863 32
0 368 69
0 960 8
0 513 88
0 480 87
0 862 77
0 185 68
0 417 58
0 842 8
0 606 36
0 282 60
0 649 45
0 811 90
0 505 64
0 198 6
0 450 43
0 194 61
0 236 62
0 864 50
0 161 31
0 609 10
0 286 83
0 245 22
0 8 93
0 844 48
0 954 64
0 341 80
0 565 18
0 716 43
0 880 83
1 219 18
1 485 53
1 208 16
1 380 61
1 476 24
1 815 63
1 310 67
1 255 40
1 660 54
1 955 61
1 286 85
1 805 31
1 82 31
1 673 24
1 938 100
1 250 47
1 550 84
1 752 52
1 941 46
1 902 62
1 558 66
1 328 86
1 56 67
1 412 73
1 818 34
1 212 49
1 583 46
1 3 65
1 790 14
1 268 86
1 942 20
1 119 21
1 371 48
1 750 83
1 708 27
1 226 47
1 432 52
1 430 99
1 932 2
1 864 33
1 661 100
1 831 35
1 944 36
1 262 45
1 140 76
1 521 86
1 157 18
1 473 44
1 195 88
1 898 31
1 575 31
1 897 52
1 100 64
1 505 64
1 782 68
1 536 93
1 293 97
1 870 69
1 696 70
1 61 99
1 367 5
1 50 23
1 567 1
1 329 56
1 556 8
1 135 58
1 569 29
1 916 28
1 6 2
1 472 43
1 859 84
1 169 46
1 136 49
1 211 97
1 795 7
1 112 96
1 739 75
1 132 18
1 116 19
1 987 78
1 971 90
1 788 99
1 411 28
1 160 85
1 681 86
1 947 9
1 468 24
2 716 88
2 839 62
2 619 62
2 25 91
2 807 37
2 943 29
2 848 20
2 590 50
2 572 49
2 639 50
2 484 97
2 206 49
2 981 20
2 168 12
2 419 47
2 742 78
2 296 92
2 719 85
2 39 17
2 708 92
2 854 1
2 451 45
2 971 22
2 525 11
2 530 39
2 27 97
2 69 41
2 440 100
2 633 6
2 216 85
2 357 71
2 439 7
2 652 43
2 237 27
2 566 83
2 591 81
2 547 61
2 857 94
2 823 15
2 406 75
2 675 39
2 782 90
2 726 19
2 230 3
2 208 30
2 992 48
2 209 5
2 370 14
2 473 56
2 76 56
2 689 67
2 44 75
2 265 69
2 871 27
2 969 37
2 84 61
2 448 46
2 990 80
2 691 51
2 921 69
2 272 80
2 800 88
2 694 17
2 176 57
2 264 29
2 399 8
2 110 92
2 375 86
2 24 2
2 646 13
2 703 33
2 537 62
2 331 26
2 425 67
2 364 26
2 409 35
2 103 19
2 963 96
2 956 64
2 301 46
2 389 1
2 814 40
2 405 89
2 601 45
2 412 4
2 443 19
2 458 44
2 376 9
2 774 41
2 41 88
2 986 41
2 917 27
2 733 24
2 307 36
2 114 34
2 198 76
2 866 11
2 920 63
2 809 37
2 869 5
2 342 83
2 343 49
2 252 80
2 615 39
2 783 86
3 166 10
3 613 34
3 279 48
3 776 60
3 607 75
3 637 42
3 36 95
3 969 65
3 190 23
3 811 54
3 869 49
3 986 30
3 687 54
3 124 55
3 60 94
3 30 43
3 685 54
3 83 57
3 722 8
3 946 72
3 555 87
3 302 66
3 31 42
3 266 85
3 824 53
3 767 55
3 297 8
3 542 54
3 50 22
3 121 98
3 819 34
3 227 37
3 374 95
3 413 4
3 294 70
3 712 7
3 678 61
3 750 56
3 239 29
3 905 25
3 596 8
3 591 46
3 638 84
3 154 95
3 893 40
3 686 2
3 723 8
3 436 53
3 860 62
3 569 59
3 538 32
3 993 85
3 70 15
3 392 49
3 116 52
3 739 99
3 57 44
3 559 44
3 753 61
3 763 13
3 171 33
3 960 80
3 813 57
3 285 28
3 51 72
3 16 50
3 217 12
3 582 94
3 345 80
3 339 29
3 474 92
3 304 95
3 126 60
3 921 43
3 854 0
3 925 69
3 885 95
3 862 7
3 663 52
3 493 32
3 80 62
3 743 82
3 78 18
3 192 83
3 156 34
3 381 59
3 402 62
3 270 98
3 641 21
3 880 96
3 539 84
3 150 47
3 498 39
3 477 89
3 944 59
3 137 17
3 906 90
3 996 25
3 118 48
3 23 76
4 663 79
4 763 45
4 374 44
4 425 86
4 449 82
4 287 73
4 923 6
4 381 61
4 254 97
4 324 13
4 864 2
4 572 19
4 49 21
4 726 42
4 774 98
4 899 100
4 525 90
4 781 99
4 199 83
4 187 70
4 155 53
4 872 72
4 595 34
4 895 86
4 957 61
4 368 74
4 626 81
4 273 80
4 382 71
4 616 12
4 433 64
4 698 11
4 236 59
4 165 50
4 818 21
